Scopus-20530-Analyze-Year

"Your query : ((""machine learning"" OR ""AI"") AND (""volcano"" OR ""eruption""))"


Number of results : 20530

"YEAR",
"2025","4315"
"2024","3432"
"2023","2700"
"2022","2169"
"2021","1671"
"2020","1230"
"2019","849"
"2018","650"
"2017","450"
"2016","359"
"2015","329"
"2014","276"
"2013","290"
"2012","255"
"2011","201"
"2010","191"
"2009","215"
"2008","128"
"2007","123"
"2006","100"
"2005","76"
"2004","82"
"2003","68"
"2002","63"
"2001","47"
"2000","34"
"1999","38"
"1998","26"
"1997","26"
"1996","31"
"1995","18"
"1994","12"
"1993","14"
"1992","7"
"1991","13"
"1990","8"
"1989","3"
"1988","5"
"1987","5"
"1986","7"
"1985","2"
"1984","2"
"1983","3"
"1982","2"
"1981","4"
"1980","1"
